ensembl_id	no_na	mean	median	sd	lowerq	upperq	min	max
ENSG00000200895	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000237115	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000236673	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000280058	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000118523	101	3.712871287128713	3	6.7443852702279194	2	4	1	69
ENSG00000227220	101	3.722772277227723	3	6.742579346038411	2	4	1	69
ENSG00000108798	101	6.554455445544554	4	6.729747762769051	2	8	1	31
ENSG00000173868	101	6.603960396039604	4	6.714282102981364	2	8	1	31
ENSG00000177369	101	6.603960396039604	4	6.714282102981364	2	8	1	31
ENSG00000167083	101	6.475247524752476	4	6.712069814008106	2	8	1	31
ENSG00000178082	101	5.762376237623762	4	6.705443333369518	2	6	1	34
ENSG00000264050	101	5.792079207920792	4	6.695247316840757	2	6	1	34
ENSG00000198740	101	6.603960396039604	4	6.6754463639831485	2	8	1	31
ENSG00000281414	101	6.603960396039604	4	6.6754463639831485	2	8	1	31
ENSG00000108255	101	5.732673267326732	4	6.67366629238968	2	6	1	34
ENSG00000246174	101	4.98019801980198	3	6.648278270379184	2	4	1	43
ENSG00000188997	101	4.98019801980198	3	6.648278270379184	2	4	1	43
ENSG00000265313	101	6.217821782178218	4	6.643197965432069	2	7	1	39
ENSG00000255084	101	4.910891089108911	3	6.6394261949373155	2	4	1	43
ENSG00000137513	101	4.861386138613861	3	6.634801734747312	2	4	1	43
ENSG00000251323	101	4.910891089108911	3	6.633398842073331	2	4	1	43
ENSG00000200889	101	6.247524752475248	4	6.629337735542004	2	7	1	39
ENSG00000267452	101	5.673267326732673	3	6.610762302323521	2	6	1	44
ENSG00000064300	101	6.396039603960396	3	6.606177726826295	2	7	1	31
ENSG00000249906	101	6.396039603960396	3	6.606177726826295	2	7	1	31
ENSG00000277478	101	6.396039603960396	3	6.606177726826295	2	7	1	31
ENSG00000279036	101	6.415841584158416	4	6.5958582864289514	2	7	1	31
ENSG00000265303	101	5.98019801980198	4	6.593906578076159	2	6	1	42
ENSG00000265415	101	5.98019801980198	4	6.593906578076159	2	6	1	42
ENSG00000167447	101	5.98019801980198	4	6.593906578076159	2	6	1	42
ENSG00000249497	101	6.405940594059406	4	6.591173215478079	2	7	1	31
ENSG00000220237	101	4.4950495049504955	3	6.588814403785006	2	4	1	58
ENSG00000211514	101	5.99009900990099	4	6.5871011067159895	2	6	1	42
ENSG00000207996	101	5.99009900990099	4	6.5871011067159895	2	6	1	42
ENSG00000068489	101	5.99009900990099	4	6.5871011067159895	2	6	1	42
ENSG00000266537	101	5.99009900990099	4	6.5871011067159895	2	6	1	42
ENSG00000153982	101	6.02970297029703	4	6.582485010305081	2	6	1	42
ENSG00000207235	101	6.02970297029703	4	6.582485010305081	2	6	1	42
ENSG00000271063	101	6.02970297029703	4	6.582485010305081	2	6	1	42
ENSG00000254829	101	4.96039603960396	3	6.581672723676266	2	4	1	43
ENSG00000239256	101	5.673267326732673	3	6.556079485319087	2	6	1	34
ENSG00000266111	101	5.673267326732673	3	6.556079485319087	2	6	1	34
ENSG00000264808	101	5.673267326732673	3	6.556079485319087	2	6	1	34
ENSG00000222363	101	5.673267326732673	3	6.556079485319087	2	6	1	34
ENSG00000263719	101	5.673267326732673	3	6.556079485319087	2	6	1	34
ENSG00000253064	101	5.653465346534653	3	6.552000676990741	2	6	1	34
ENSG00000141376	101	6.108910891089109	4	6.54354795214188	2	6	1	39
ENSG00000267207	101	6.108910891089109	4	6.54354795214188	2	6	1	39
ENSG00000264031	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000198720	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000264647	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000167549	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000264007	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000263370	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000222858	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000265625	101	5.3861386138613865	3	6.532947722169071	2	5	1	34
ENSG00000262039	101	6.5049504950495045	4	6.5293548875463	2	8	1	31
ENSG00000167085	101	6.5049504950495045	4	6.5293548875463	2	8	1	31
ENSG00000250186	101	6.5049504950495045	4	6.5293548875463	2	8	1	31
ENSG00000281126	101	6.5049504950495045	4	6.5293548875463	2	8	1	31
ENSG00000207127	101	6.5049504950495045	4	6.5293548875463	2	8	1	31
ENSG00000229944	101	6.5049504950495045	4	6.5293548875463	2	8	1	31
ENSG00000141753	101	4.633663366336633	2	6.5279748349349935	2	5	1	39
ENSG00000186244	101	6.524752475247524	4	6.521647122324145	2	8	1	31
ENSG00000235183	101	6.207920792079208	4	6.51508531284613	2	7	1	31
ENSG00000248714	101	6.5049504950495045	4	6.514021434377135	2	8	1	31
ENSG00000250948	101	6.5049504950495045	4	6.514021434377135	2	8	1	31
ENSG00000250310	101	6.316831683168317	3	6.512957382125737	2	7	1	31
ENSG00000252789	101	6.316831683168317	3	6.512957382125737	2	7	1	31
ENSG00000182575	101	6.316831683168317	3	6.512957382125737	2	7	1	31
ENSG00000164494	101	4.405940594059406	3	6.50565633556182	2	4	1	58
ENSG00000112320	101	4.3861386138613865	3	6.502261601980811	2	4	1	58
ENSG00000234206	101	4.3861386138613865	3	6.502261601980811	2	4	1	58
ENSG00000141200	101	5.534653465346534	3	6.495482055145167	2	5	1	34
ENSG00000267449	101	5.98019801980198	4	6.49458266252698	2	6	1	39
ENSG00000227694	101	5.98019801980198	4	6.49458266252698	2	6	1	39
ENSG00000267667	101	5.98019801980198	4	6.49458266252698	2	6	1	39
ENSG00000167105	101	6.425742574257426	4	6.47664501829993	2	8	1	31
ENSG00000202205	101	5.564356435643564	3	6.470573145532254	2	6	1	34
ENSG00000159063	101	4.891089108910891	3	6.466685379851118	2	4	1	43
ENSG00000252494	101	4.891089108910891	3	6.466685379851118	2	4	1	43
ENSG00000151365	101	4.861386138613861	3	6.465337892129532	2	4	1	43
ENSG00000151366	101	4.861386138613861	3	6.465337892129532	2	4	1	43
ENSG00000187504	101	5.445544554455446	3	6.455192092455115	2	6	1	44
ENSG00000277347	101	5.564356435643564	3	6.452000994395705	2	6	1	34
ENSG00000233380	101	5.415841584158416	3	6.439359171117376	2	5	1	34
